$(head -n 1 newOrders.log)
8=FIX4.4, 35=D, 34=52, 49=M3, 56=MS, 52=2024-08-05-13:01:42, 55=AAPL, 40=2, 38=18209, 21=2, 11=algo20240805130142, 60=2024-08-05-13:01:42, 54=2, 44=1276.37, 10=0252,
8=FIX4.4, 35=D, 34=86, 49=M3, 56=MS, 52=2024-08-05-13:02:32, 55=MMM, 40=2, 38=15084, 21=2, 11=algo20240805130232, 60=2024-08-05-13:02:32, 54=1, 44=146.98, 10=0252,
8=FIX4.4, 35=D, 34=88, 49=M3, 56=MS, 52=2024-08-05-13:02:34, 55=WBAI, 40=2, 38=13592, 21=2, 11=algo20240805130234, 60=2024-08-05-13:02:34, 54=1, 44=4.10, 10=0252,
8=FIX4.4, 35=D, 34=89, 49=M3, 56=MS, 52=2024-08-05-13:02:36, 55=WUBA, 40=2, 38=11415, 21=2, 11=algo20240805130236, 60=2024-08-05-13:02:36, 54=2, 44=51.41, 10=0252,
8=FIX4.4, 35=D, 34=91, 49=M3, 56=MS, 52=2024-08-05-13:02:41, 55=EGHT, 40=2, 38=20518, 21=2, 11=algo20240805130241, 60=2024-08-05-13:02:41, 54=2, 44=17.03, 10=0252,
8=FIX4.4, 35=D, 34=93, 49=M3, 56=MS, 52=2024-08-05-13:02:43, 55=AHC, 40=2, 38=26705, 21=2, 11=algo20240805130243, 60=2024-08-05-13:02:43, 54=1, 44=1.40, 10=0252,
8=FIX4.4, 35=D, 34=95, 49=M3, 56=MS, 52=2024-08-05-13:02:45, 55=AOS, 40=2, 38=2998, 21=2, 11=algo20240805130245, 60=2024-08-05-13:02:45, 54=1, 44=40.38, 10=0252,
8=FIX4.4, 35=D, 34=97, 49=M3, 56=MS, 52=2024-08-05-13:02:47, 55=ATEN, 40=2, 38=13003, 21=2, 11=algo20240805130247, 60=2024-08-05-13:02:47, 54=2, 44=6.45, 10=0252,
8=FIX4.4, 35=D, 34=99, 49=M3, 56=MS, 52=2024-08-05-13:02:49, 55=AIR, 40=2, 38=27395, 21=2, 11=algo20240805130249, 60=2024-08-05-13:02:49, 54=1, 44=16.31, 10=0252,
8=FIX4.4, 35=D, 34=101, 49=M3, 56=MS, 52=2024-08-05-13:02:52, 55=AAN, 40=2, 38=6936, 21=2, 11=algo20240805130252, 60=2024-08-05-13:02:52, 54=2, 44=25.68, 10=0252,
8=FIX4.4, 35=D, 34=102, 49=M3, 56=MS, 52=2024-08-05-13:02:53, 55=ABB, 40=2, 38=1292, 21=2, 11=algo20240805130253, 60=2024-08-05-13:02:53, 54=2, 44=17.42, 10=0252,
8=FIX4.4, 35=D, 34=104, 49=M3, 56=MS, 52=2024-08-05-13:02:55, 55=ABT, 40=2, 38=1290, 21=2, 11=algo20240805130255, 60=2024-08-05-13:02:55, 54=1, 44=94.04, 10=0252,
8=FIX4.4, 35=D, 34=105, 49=M3, 56=MS, 52=2024-08-05-13:02:57, 55=ABBV, 40=2, 38=20281, 21=2, 11=algo20240805130257, 60=2024-08-05-13:02:57, 54=1, 44=83.60, 10=0252,
8=FIX4.4, 35=D, 34=107, 49=M3, 56=MS, 52=2024-08-05-13:02:59, 55=ANF, 40=2, 38=23944, 21=2, 11=algo20240805130259, 60=2024-08-05-13:02:59, 54=1, 44=9.10, 10=0252,
8=FIX4.4, 35=D, 34=108, 49=M3, 56=MS, 52=2024-08-05-13:03:00, 55=ABM, 40=2, 38=20574, 21=2, 11=algo20240805130300, 60=2024-08-05-13:03:00, 54=2, 44=31.64, 10=0252,
8=FIX4.4, 35=D, 34=110, 49=M3, 56=MS, 52=2024-08-05-13:03:02, 55=AAPL, 40=2, 38=20084, 21=2, 11=algo20240805130302, 60=2024-08-05-13:03:02, 54=1, 44=284.65, 10=0252,
8=FIX4.4, 35=D, 34=111, 49=M3, 56=MS, 52=2024-08-05-13:03:05, 55=PEP, 40=2, 38=13176, 21=2, 11=algo20240805130305, 60=2024-08-05-13:03:05, 54=2, 44=45.43, 10=0252,
8=FIX4.4, 35=D, 34=113, 49=M3, 56=MS, 52=2024-08-05-13:03:07, 55=, 40=2, 38=25745, 21=2, 11=algo20240805130307, 60=2024-08-05-13:03:07, 54=1, 44=, 10=0252,
