8=FIX4.4; 35=8; 34=52; 49=MS; 56=EDGE; 52=2024-08-05-09:46:16; 55=AAPL; 40=2; 11=algo20240805094616; 31=1276.37; 150=0; 39=0; 54=1; 44=1276.37; 32=0; 17=exec20240805094616; 38=24493; 60=2024-08-05-09:46:16; 6=0; 14=0; 37=algo20240805094616; 10=200;
8=FIX4.4; 35=8; 34=73; 49=MS; 56=EDGE; 52=2024-08-05-09:46:30; 55=PEP; 40=2; 11=algo20240805094630; 31=36.21; 150=0; 39=0; 54=1; 44=36.21; 32=0; 17=exec20240805094630; 38=20426; 60=2024-08-05-09:46:30; 6=0; 14=0; 37=algo20240805094630; 10=200;
8=FIX4.4; 35=8; 34=76; 49=MS; 56=EDGE; 52=2024-08-05-09:46:33; 55=NFLX; 40=2; 11=algo20240805094633; 31=306.71; 150=0; 39=0; 54=1; 44=306.71; 32=0; 17=exec20240805094633; 38=12285; 60=2024-08-05-09:46:33; 6=0; 14=0; 37=algo20240805094633; 10=200;
8=FIX4.4; 35=8; 34=77; 49=MS; 56=EDGE; 52=2024-08-05-09:46:33; 55=NFLX; 40=2; 11=algo20240805094633; 31=306.71; 150=1; 39=1; 54=1; 44=306.71; 32=4095; 17=exec20240805094633; 38=12285; 60=2024-08-05-09:46:33; 6=306.71; 14=4095; 37=algo20240805094633; 10=240;
8=FIX4.4; 35=8; 34=78; 49=MS; 56=EDGE; 52=2024-08-05-09:46:35; 55=NFLX; 40=2; 11=algo20240805094633; 31=306.71; 150=1; 39=1; 54=1; 44=306.71; 32=4095; 17=exec20240805094635; 38=12285; 60=2024-08-05-09:46:35; 6=306.71; 14=8190; 37=algo20240805094633; 10=240;
8=FIX4.4; 35=8; 34=79; 49=MS; 56=EDGE; 52=2024-08-05-09:46:42; 55=NFLX; 40=2; 11=algo20240805094633; 31=306.71; 150=2; 39=2; 54=1; 44=306.71; 32=4095; 17=exec20240805094642; 38=12285; 60=2024-08-05-09:46:42; 6=306.71; 14=12285; 37=algo20240805094633; 10=246;
8=FIX4.4; 35=8; 34=80; 49=MS; 56=EDGE; 52=2024-08-05-09:46:42; 55=CSCO; 40=2; 11=algo20240805094642; 31=233.73; 150=0; 39=0; 54=2; 44=233.73; 32=0; 17=exec20240805094642; 38=29377; 60=2024-08-05-09:46:42; 6=0; 14=0; 37=algo20240805094642; 10=200;
8=FIX4.4; 35=8; 34=83; 49=MS; 56=EDGE; 52=2024-08-05-09:46:48; 55=AMGN; 40=2; 11=algo20240805094648; 31=116.62; 150=0; 39=0; 54=1; 44=116.62; 32=0; 17=exec20240805094648; 38=24332; 60=2024-08-05-09:46:48; 6=0; 14=0; 37=algo20240805094648; 10=200;
8=FIX4.4; 35=8; 34=86; 49=MS; 56=EDGE; 52=2024-08-05-09:46:50; 55=PYPL; 40=2; 11=algo20240805094650; 31=723.61; 150=0; 39=0; 54=1; 44=723.61; 32=0; 17=exec20240805094650; 38=3347; 60=2024-08-05-09:46:50; 6=0; 14=0; 37=algo20240805094650; 10=200;
8=FIX4.4; 35=8; 34=87; 49=MS; 56=EDGE; 52=2024-08-05-09:46:50; 55=PYPL; 40=2; 11=algo20240805094650; 31=723.61; 150=1; 39=1; 54=1; 44=723.61; 32=1115; 17=exec20240805094650; 38=3347; 60=2024-08-05-09:46:50; 6=723.61; 14=1115; 37=algo20240805094650; 10=240;
8=FIX4.4; 35=8; 34=90; 49=MS; 56=EDGE; 52=2024-08-05-09:46:53; 55=TSLA; 40=2; 11=algo20240805094653; 31=503.77; 150=0; 39=0; 54=2; 44=503.77; 32=0; 17=exec20240805094653; 38=27723; 60=2024-08-05-09:46:53; 6=0; 14=0; 37=algo20240805094653; 10=200;
8=FIX4.4; 35=8; 34=93; 49=MS; 56=EDGE; 52=2024-08-05-09:46:55; 55=TXN; 40=2; 11=algo20240805094655; 31=112.46; 150=0; 39=0; 54=2; 44=112.46; 32=0; 17=exec20240805094655; 38=6832; 60=2024-08-05-09:46:55; 6=0; 14=0; 37=algo20240805094655; 10=200;
8=FIX4.4; 35=8; 34=96; 49=MS; 56=EDGE; 52=2024-08-05-09:46:59; 55=AVGO; 40=2; 11=algo20240805094659; 31=262.99; 150=0; 39=0; 54=2; 44=262.99; 32=0; 17=exec20240805094659; 38=25927; 60=2024-08-05-09:46:59; 6=0; 14=0; 37=algo20240805094659; 10=200;
8=FIX4.4; 35=8; 34=99; 49=MS; 56=EDGE; 52=2024-08-05-09:47:01; 55=GILD; 40=2; 11=algo20240805094701; 31=82.91; 150=0; 39=0; 54=1; 44=82.91; 32=0; 17=exec20240805094701; 38=22054; 60=2024-08-05-09:47:01; 6=0; 14=0; 37=algo20240805094701; 10=200;
8=FIX4.4; 35=8; 34=102; 49=MS; 56=EDGE; 52=2024-08-05-09:47:03; 55=SBUX; 40=2; 11=algo20240805094703; 31=75.71; 150=0; 39=0; 54=2; 44=75.71; 32=0; 17=exec20240805094703; 38=12191; 60=2024-08-05-09:47:03; 6=0; 14=0; 37=algo20240805094703; 10=200;
8=FIX4.4; 35=8; 34=103; 49=MS; 56=EDGE; 52=2024-08-05-09:47:04; 55=SBUX; 40=2; 11=algo20240805094703; 31=75.71; 150=2; 39=2; 54=2; 44=75.71; 32=12191; 17=exec20240805094704; 38=12191; 60=2024-08-05-09:47:04; 6=75.71; 14=12191; 37=algo20240805094703; 10=246;
8=FIX4.4; 35=8; 34=104; 49=MS; 56=EDGE; 52=2024-08-05-09:47:04; 55=QCOM; 40=2; 11=algo20240805094704; 31=75.47; 150=0; 39=0; 54=1; 44=75.47; 32=0; 17=exec20240805094704; 38=5352; 60=2024-08-05-09:47:04; 6=0; 14=0; 37=algo20240805094704; 10=200;
8=FIX4.4; 35=8; 34=105; 49=MS; 56=EDGE; 52=2024-08-05-09:47:05; 55=QCOM; 40=2; 11=algo20240805094704; 31=75.47; 150=2; 39=2; 54=1; 44=75.47; 32=5352; 17=exec20240805094705; 38=5352; 60=2024-08-05-09:47:05; 6=75.47; 14=5352; 37=algo20240805094704; 10=246;
8=FIX4.4; 35=8; 34=106; 49=MS; 56=EDGE; 52=2024-08-05-09:47:05; 55=TMUS; 40=2; 11=algo20240805094705; 31=90.74; 150=0; 39=0; 54=2; 44=90.74; 32=0; 17=exec20240805094705; 38=22700; 60=2024-08-05-09:47:05; 6=0; 14=0; 37=algo20240805094705; 10=200;
8=FIX4.4; 35=8; 34=109; 49=MS; 56=EDGE; 52=2024-08-05-09:47:07; 55=MDLZ; 40=2; 11=algo20240805094707; 31=52.26; 150=0; 39=0; 54=2; 44=52.26; 32=0; 17=exec20240805094707; 38=27226; 60=2024-08-05-09:47:07; 6=0; 14=0; 37=algo20240805094707; 10=200;
8=FIX4.4; 35=8; 34=112; 49=MS; 56=EDGE; 52=2024-08-05-09:47:09; 55=BAC; 40=2; 11=algo20240805094709; 31=22.03; 150=0; 39=0; 54=2; 44=22.03; 32=0; 17=exec20240805094709; 38=22534; 60=2024-08-05-09:47:09; 6=0; 14=0; 37=algo20240805094709; 10=200;
8=FIX4.4; 35=8; 34=115; 49=MS; 56=EDGE; 52=2024-08-05-09:47:16; 55=DDD; 40=2; 11=algo20240805094716; 31=8.01; 150=0; 39=0; 54=1; 44=8.01; 32=0; 17=exec20240805094716; 38=13770; 60=2024-08-05-09:47:16; 6=0; 14=0; 37=algo20240805094716; 10=200;
8=FIX4.4; 35=8; 34=116; 49=MS; 56=EDGE; 52=2024-08-05-09:47:16; 55=DDD; 40=2; 11=algo20240805094716; 31=8.01; 150=1; 39=1; 54=1; 44=8.01; 32=4590; 17=exec20240805094716; 38=13770; 60=2024-08-05-09:47:16; 6=8.01; 14=4590; 37=algo20240805094716; 10=240;
8=FIX4.4; 35=8; 34=117; 49=MS; 56=EDGE; 52=2024-08-05-09:47:17; 55=DDD; 40=2; 11=algo20240805094716; 31=8.01; 150=1; 39=1; 54=1; 44=8.01; 32=4590; 17=exec20240805094717; 38=13770; 60=2024-08-05-09:47:17; 6=8.01; 14=9180; 37=algo20240805094716; 10=240;
8=FIX4.4; 35=8; 34=118; 49=MS; 56=EDGE; 52=2024-08-05-09:47:19; 55=DDD; 40=2; 11=algo20240805094716; 31=8.01; 150=2; 39=2; 54=1; 44=8.01; 32=4590; 17=exec20240805094719; 38=13770; 60=2024-08-05-09:47:19; 6=8.01; 14=13770; 37=algo20240805094716; 10=246;
8=FIX4.4; 35=8; 34=119; 49=MS; 56=EDGE; 52=2024-08-05-09:47:19; 55=MMM; 40=2; 11=algo20240805094719; 31=146.98; 150=0; 39=0; 54=2; 44=146.98; 32=0; 17=exec20240805094719; 38=20465; 60=2024-08-05-09:47:19; 6=0; 14=0; 37=algo20240805094719; 10=200;
8=FIX4.4; 35=8; 34=120; 49=MS; 56=EDGE; 52=2024-08-05-09:47:20; 55=MMM; 40=2; 11=algo20240805094719; 31=146.98; 150=2; 39=2; 54=2; 44=146.98; 32=20465; 17=exec20240805094720; 38=20465; 60=2024-08-05-09:47:20; 6=146.98; 14=20465; 37=algo20240805094719; 10=246;
8=FIX4.4; 35=8; 34=121; 49=MS; 56=EDGE; 52=2024-08-05-09:47:20; 55=WBAI; 40=2; 11=algo20240805094720; 31=4.10; 150=0; 39=0; 54=2; 44=4.10; 32=0; 17=exec20240805094720; 38=19786; 60=2024-08-05-09:47:20; 6=0; 14=0; 37=algo20240805094720; 10=200;
8=FIX4.4; 35=8; 34=124; 49=MS; 56=EDGE; 52=2024-08-05-09:47:23; 55=WUBA; 40=2; 11=algo20240805094723; 31=51.41; 150=0; 39=0; 54=1; 44=51.41; 32=0; 17=exec20240805094723; 38=12432; 60=2024-08-05-09:47:23; 6=0; 14=0; 37=algo20240805094723; 10=200;
8=FIX4.4; 35=8; 34=125; 49=MS; 56=EDGE; 52=2024-08-05-09:47:23; 55=WUBA; 40=2; 11=algo20240805094723; 31=51.41; 150=1; 39=1; 54=1; 44=51.41; 32=2486; 17=exec20240805094723; 38=12432; 60=2024-08-05-09:47:23; 6=51.41; 14=2486; 37=algo20240805094723; 10=240;
8=FIX4.4; 35=8; 34=128; 49=MS; 56=EDGE; 52=2024-08-05-09:47:31; 55=EGHT; 40=2; 11=algo20240805094731; 31=17.03; 150=0; 39=0; 54=2; 44=17.03; 32=0; 17=exec20240805094731; 38=27229; 60=2024-08-05-09:47:31; 6=0; 14=0; 37=algo20240805094731; 10=200;
8=FIX4.4; 35=8; 34=131; 49=MS; 56=EDGE; 52=2024-08-05-09:47:34; 55=AHC; 40=2; 11=algo20240805094734; 31=1.40; 150=0; 39=0; 54=1; 44=1.40; 32=0; 17=exec20240805094734; 38=12969; 60=2024-08-05-09:47:34; 6=0; 14=0; 37=algo20240805094734; 10=200;
8=FIX4.4; 35=8; 34=132; 49=MS; 56=EDGE; 52=2024-08-05-09:47:34; 55=AHC; 40=2; 11=algo20240805094734; 31=1.40; 150=1; 39=1; 54=1; 44=1.40; 32=2593; 17=exec20240805094734; 38=12969; 60=2024-08-05-09:47:34; 6=1.40; 14=2593; 37=algo20240805094734; 10=240;
8=FIX4.4; 35=8; 34=133; 49=MS; 56=EDGE; 52=2024-08-05-09:47:35; 55=AHC; 40=2; 11=algo20240805094734; 31=1.40; 150=1; 39=1; 54=1; 44=1.40; 32=2593; 17=exec20240805094735; 38=12969; 60=2024-08-05-09:47:35; 6=1.40; 14=5186; 37=algo20240805094734; 10=240;
